Fri Aug 24 09:34:27 2018 Temp: 32 C, Humidity: 43 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:51:11 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:51:46 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:52:21 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:52:55 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:53:30 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:54:05 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:54:39 2018 Temp: 33 C, Humidity: 41 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:55:14 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:55:49 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:56:24 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:56:58 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:57:33 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:58:08 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:58:43 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:59:17 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 09:59:52 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:00:27 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:01:01 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:01:36 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:02:11 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:02:45 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:03:20 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:03:55 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:04:30 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:05:04 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:05:39 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:06:14 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:06:49 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:07:23 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:07:58 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:08:33 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:09:08 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:09:42 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:10:17 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:10:52 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:11:26 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:12:01 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:12:36 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:13:11 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:13:45 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:14:20 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:14:55 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:15:29 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:16:04 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:16:39 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:17:14 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:17:48 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:18:23 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:18:58 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:19:32 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:20:07 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:20:42 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:21:17 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:21:51 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:22:26 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:23:01 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:23:35 2018 Temp: 33 C, Humidity: 36 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:24:10 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:24:45 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:25:20 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:25:54 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:26:29 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:27:04 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:27:38 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:28:13 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:28:48 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:29:23 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:29:57 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:30:32 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:31:07 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:31:42 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:32:16 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:32:51 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:33:26 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:34:01 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:34:35 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:35:10 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:35:45 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:36:19 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:36:54 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:37:29 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:38:04 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:38:38 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:39:13 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:39:48 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:40:23 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:40:57 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:41:32 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:42:07 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:42:41 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1014 Millibars 
Fri Aug 24 10:43:16 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1014 Millibars 
Fri Aug 24 10:43:51 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:44:26 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:45:00 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:45:35 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:46:10 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:46:44 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:47:19 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:47:54 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1014 Millibars 
Fri Aug 24 10:48:29 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:49:03 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:49:38 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:50:13 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:50:47 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:51:22 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:51:57 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:52:32 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:53:06 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:53:41 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:54:16 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:54:50 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:55:25 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:56:00 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:56:35 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:57:09 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:57:44 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:58:19 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:58:54 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 10:59:28 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:00:03 2018 Temp: 33 C, Humidity: 40 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:00:38 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:01:13 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:01:47 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:02:22 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:02:57 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:03:31 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:04:06 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:04:41 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:05:16 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:05:50 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:06:25 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:07:00 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:07:34 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:08:09 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:08:44 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:09:18 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:09:53 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:10:28 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:11:02 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:11:37 2018 Temp: 33 C, Humidity: 35 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:12:12 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:12:46 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:13:21 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:13:56 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:14:31 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:15:05 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:15:40 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:16:15 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:16:49 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:17:24 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:17:59 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:18:34 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:19:08 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:19:43 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:20:18 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:20:53 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:21:27 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:22:02 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:22:37 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:23:11 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:23:46 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:24:21 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:24:56 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:25:30 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:26:05 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:26:40 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:27:14 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:27:49 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:28:24 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:28:58 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:29:33 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:30:08 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:30:42 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:31:17 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:31:52 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:32:27 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:33:01 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:33:36 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:34:11 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:34:45 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:35:20 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:35:55 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:36:29 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:37:04 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:37:39 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:38:13 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:38:48 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:39:23 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:39:57 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:40:32 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:41:07 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:41:41 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:42:16 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:42:51 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:43:26 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:44:00 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:44:35 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:45:10 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:45:44 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:46:19 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:46:54 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:47:28 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:48:03 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:48:38 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:49:13 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:49:47 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:50:22 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:50:57 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:51:31 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:52:06 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:52:41 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:53:15 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:53:50 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:54:25 2018 Temp: 32 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:55:00 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:55:34 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:56:09 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:56:44 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:57:18 2018 Temp: 32 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:57:53 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:58:28 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:59:03 2018 Temp: 32 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 11:59:37 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1013 Millibars 
Fri Aug 24 12:00:12 2018 Temp: 33 C, Humidity: 39 rH, Pressure: 1013 Millibars 
Fri Aug 24 12:00:47 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1012 Millibars 
Fri Aug 24 12:01:22 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1012 Millibars 
Fri Aug 24 12:01:56 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1012 Millibars 
Fri Aug 24 12:02:31 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1012 Millibars 
Fri Aug 24 12:03:06 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1012 Millibars 
Fri Aug 24 12:03:41 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1012 Millibars 
Fri Aug 24 12:04:15 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1012 Millibars 
Fri Aug 24 12:04:50 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1012 Millibars 
Fri Aug 24 12:05:25 2018 Temp: 33 C, Humidity: 38 rH, Pressure: 1012 Millibars 
Fri Aug 24 12:05:59 2018 Temp: 33 C, Humidity: 37 rH, Pressure: 1012 Millibars 
